Web Link,Organisation ID,URN,LAESTAB,School name,Region,Ofsted region,Local authority,Parliamentary constituency,Postcode,Type of education,Phase of education,Sixth form,Predecessor URN,Number of warning notices issued in 2017/18 academic year,Total number of pupils,Deprivation index,Inspection number,Inspection start date,Inspection end date,Publication date,Inspection type,Inspection type grouping,Event type grouping,Overall effectiveness,Category of concern,Outcomes for pupils,"Quality of teaching, learning and assessment",Effectiveness of leadership and management,"Personal development, behaviour and welfare",Early years provision (where applicable),16 - 19 study programmes,Previous inspection number,Previous inspection start date,Previous inspection end date,Previous publication date,Previous overall effectiveness,Previous category of concern,Previous outcomes for pupils,"Previous quality of teaching, learning and assessment",Previous effectiveness of leadership and management,"Previous personal development, behaviour and welfare",Previous early years provision (where applicable),Previous 16 - 19 study programmes,Provider open date - QA,Provider open reason - QA,Provider closed date - QA,Provider closed reason - QA,OB number on Roll,Withdrawn date,Previous withdrawn date
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/123166,1127495,123166,9313247,"St Nicolas Church of England Primary School, Abingdon",South East,South East,Oxfordshire,Oxford West and Abingdon,OX14 1HB,Voluntary Controlled School,Primary,Does not have a sixth form,NULL,,405,3,ITS426502,19/11/2013,20/11/2013,11/12/2013,S5 Inspection,S5 Inspection,Schools - S5,2,,2,2,2,9,9,9,ITS380610,02/11/2011,03/11/2011,24/11/2011,3,,3,3,3,9,2,9,NULL,Not applicable,NULL,Not applicable,NULL,NULL,NULL
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/142350,1212468,142350,9313040,Finstock Church of England Primary School,South East,South East,Oxfordshire,Witney,OX7 3BN,Academy Converter,Primary,Does not have a sixth form,123095,,91,1,ITS426495,18/09/2013,19/09/2013,10/10/2013,S5 Inspection,S5 Inspection,Schools - S5,2,,2,2,2,9,9,9,ITS380593,23/02/2012,24/02/2012,16/03/2012,3,,3,3,2,9,8,9,01/10/2015,Academy Converter,NULL,Not recorded,NULL,NULL,NULL
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/123161,1127671,123161,9313242,Sunningwell Church of England Primary School,South East,South East,Oxfordshire,Oxford West and Abingdon,OX13 6RE,Voluntary Controlled School,Primary,Does not have a sixth form,NULL,,95,1,ITS433886,10/12/2013,11/12/2013,01/02/2014,S5 Inspection,S5 Inspection,Schools - S5,2,,2,2,2,9,9,9,ITS359375,17/11/2010,18/11/2010,08/12/2010,2,,2,2,2,9,2,9,NULL,Not applicable,NULL,Not applicable,NULL,NULL,NULL
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/123172,1127182,123172,9313253,St Francis Church of England Primary School,South East,South East,Oxfordshire,Oxford East,OX4 2QT,Voluntary Controlled School,Primary,Does not have a sixth form,NULL,,320,4,10012228,08/06/2016,09/06/2016,06/07/2016,Requires Improvement S5 Reinspection Visit 1,Requires Improvement S5 Reinspection Visit 1,Schools - S5,2,,2,2,2,2,2,9,ITS431039,27/03/2014,28/03/2014,29/04/2014,3,,3,3,3,9,9,9,NULL,Not applicable,NULL,Not applicable,NULL,NULL,NULL
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/123115,1120219,123115,9313141,Bletchingdon Parochial Church of England Primary School,South East,South East,Oxfordshire,Henley,OX5 3FD,Voluntary Aided School,Primary,Does not have a sixth form,NULL,,79,1,10002332,03/03/2016,04/03/2016,24/03/2016,Requires Improvement S5 Reinspection Visit 1,Requires Improvement S5 Reinspection Visit 1,Schools - S5,2,,2,2,2,2,2,9,ITS426498,10/10/2013,11/10/2013,07/11/2013,3,,3,3,2,9,9,9,NULL,Not applicable,NULL,Not applicable,NULL,NULL,NULL
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/123197,1120732,123197,9313752,Ewelme CofE Primary School,South East,South East,Oxfordshire,Henley,OX10 6HU,Voluntary Aided School,Primary,Does not have a sixth form,NULL,,80,1,ITS403518,27/09/2012,28/09/2012,03/11/2012,S5 Inspection,S5 Inspection,Schools - S5,2,,2,2,2,9,9,9,ITS314537,16/10/2007,16/10/2007,05/11/2007,2,,2,2,2,9,2,9,NULL,Not applicable,NULL,Not applicable,NULL,NULL,NULL
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/123002,1108947,123002,9312104,Great Tew County Primary School,South East,South East,Oxfordshire,Witney,OX7 4DB,Community School,Primary,Does not have a sixth form,NULL,,94,1,ITS314451,02/07/2008,03/07/2008,21/07/2008,S5 Inspection,S5 Inspection,Schools - S5,1,,1,1,1,9,2,9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Not applicable,NULL,Not applicable,NULL,NULL,NULL
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/123175,1125187,123175,9313256,Beckley Church of England Primary School,South East,South East,Oxfordshire,Henley,OX3 9UT,Voluntary Controlled School,Primary,Does not have a sixth form,NULL,,134,2,ITS449765,10/03/2015,11/03/2015,17/04/2015,S5 Inspection,S5 Inspection,Schools - S5,2,,2,2,2,9,2,9,ITS340299,01/12/2009,02/12/2009,12/01/2010,2,,1,2,2,9,2,9,NULL,Not applicable,NULL,Not applicable,NULL,NULL,NULL
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/123098,1125284,123098,9313064,Bloxham Church of England Primary School,South East,South East,Oxfordshire,Banbury,OX15 4HP,Voluntary Controlled School,Primary,Does not have a sixth form,NULL,,418,2,ITS380594,07/02/2012,08/02/2012,07/03/2012,S5 Inspection,S5 Inspection,Schools - S5,2,,2,2,2,9,8,9,ITS292579,28/11/2006,29/11/2006,14/12/2006,2,,2,2,2,9,2,9,NULL,Not applicable,NULL,Not applicable,NULL,NULL,NULL
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/123273,1121943,123273,9315200,Shenington Church of England Primary School,South East,South East,Oxfordshire,Banbury,OX15 6NF,Voluntary Aided School,Primary,Does not have a sixth form,NULL,,99,2,ITS359408,02/03/2011,03/03/2011,24/03/2011,S5 Inspection,S5 Inspection,Schools - S5,2,,2,2,2,9,2,9,ITS292631,01/05/2008,01/05/2008,22/05/2008,2,,2,2,2,9,2,9,NULL,Not applicable,NULL,Not applicable,NULL,NULL,NULL
